plan,switches,total_price,full_price,nights_private_bathroom,nights_private_bath_and_kitchen,segment_detail,label,equivalent_alternatives,warning
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 16) → Room 3 (Jul 16–Jul 21) → Room 7 (Jul 21–Aug 12),6,3393.0,5085.0,17,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 8 nights × avg £96.25, 35% off = £500.50 | Room 3: 5 nights × avg £93.00, 32% off = £316.20 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 22) → Room 7 (Jul 22–Aug 12),6,3398.55,5115.0,19,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 7 nights × avg £92.14, 35% off = £419.25 | Room 7: 21 nights × avg £75.00, 35% off = £1023.75",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 14) → Room 6 (Jul 14–Jul 21) → Room 7 (Jul 21–Aug 12),6,3401.85,5115.0,21,3,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 7 nights × avg £75.71, 35% off = £344.50 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 9 nights × avg £131.11, 35% off = £767.00 | Room 6: 7 nights × avg £78.57, 35% off = £357.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 13) → Room 6 (Jul 13–Jul 21) → Room 7 (Jul 21–Aug 12),6,3403.35,5105.0,20,4,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 8 nights × avg £74.38, 35% off = £386.75 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 8 nights × avg £136.25, 35% off = £708.50 | Room 6: 8 nights × avg £78.12, 35% off = £406.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 7 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 10) → Room 6 (Jul 10–Jul 21) → Room 7 (Jul 21–Aug 12),6,3403.55,5100.0,15,10,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 7: 2 nights × avg £57.50, 20% off = £92.00 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 5 nights × avg £142.00, 32% off = £482.80 | Room 6: 11 nights × avg £85.00, 35% off = £607.75 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 19) → Room 9 (Jul 19–Jul 21) → Room 7 (Jul 21–Aug 12),6,3404.05,5075.0,14,11,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 11 nights × avg £92.27, 35% off = £659.75 | Room 9: 2 nights × avg £105.00, 20% off = £168.00 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 24) → Room 9 (Jun 24–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 13) → Room 6 (Jul 13–Jul 21) → Room 7 (Jul 21–Aug 12),6,3405.0,5130.0,20,5,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 5 nights × avg £74.00, 32% off = £251.60 | Room 9: 5 nights × avg £116.00, 32% off = £394.40 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 8 nights × avg £136.25, 35% off = £708.50 | Room 6: 8 nights × avg £78.12, 35% off = £406.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 23) → Room 7 (Jul 23–Aug 12),6,3411.55,5135.0,20,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 8 nights × avg £91.88, 35% off = £477.75 | Room 7: 20 nights × avg £75.25, 35% off = £978.25",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 14) → Room 6 (Jul 14–Jul 21) → Room 7 (Jul 21–Aug 12),6,3413.1,5120.0,21,4,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 8 nights × avg £74.38, 35% off = £386.75 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 9 nights × avg £131.11, 35% off = £767.00 | Room 6: 7 nights × avg £78.57, 35% off = £357.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 7 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 6 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3414.75,5150.0,17,10,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 7: 2 nights × avg £57.50, 20% off = £92.00 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 6: 9 nights × avg £80.56, 35% off = £471.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 24) → Room 9 (Jun 24–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 14) → Room 6 (Jul 14–Jul 21) → Room 7 (Jul 21–Aug 12),6,3414.75,5145.0,21,5,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 5 nights × avg £74.00, 32% off = £251.60 | Room 9: 5 nights × avg £116.00, 32% off = £394.40 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 9 nights × avg £131.11, 35% off = £767.00 | Room 6: 7 nights × avg £78.57, 35% off = £357.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 15) → Room 6 (Jul 15–Jul 22) → Room 7 (Jul 22–Aug 12),6,3418.1,5140.0,22,3,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 7 nights × avg £75.71, 35% off = £344.50 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 10 nights × avg £127.00, 35% off = £825.50 | Room 6: 7 nights × avg £79.29, 35% off = £360.75 | Room 7: 21 nights × avg £75.00, 35% off = £1023.75",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 24) → Room 7 (Jul 24–Aug 12),6,3421.3,5150.0,21,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 9 nights × avg £91.11, 35% off = £533.00 | Room 7: 19 nights × avg £75.53, 35% off = £932.75",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 19) → Room 9 (Jul 19–Jul 22) → Room 7 (Jul 22–Aug 12),6,3423.65,5110.0,15,12,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 11 nights × avg £92.27, 35% off = £659.75 | Room 9: 3 nights × avg £105.00, 26% off = £233.10 | Room 7: 21 nights × avg £75.00, 35% off = £1023.75",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 7 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 13) → Room 6 (Jul 13–Jul 21) → Room 7 (Jul 21–Aug 12),6,3427.75,5170.0,18,10,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 7: 2 nights × avg £57.50, 20% off = £92.00 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 8 nights × avg £136.25, 35% off = £708.50 | Room 6: 8 nights × avg £78.12, 35% off = £406.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 15) → Room 6 (Jul 15–Jul 22) → Room 7 (Jul 22–Aug 12),6,3429.35,5145.0,22,4,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 8 nights × avg £74.38, 35% off = £386.75 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 10 nights × avg £127.00, 35% off = £825.50 | Room 6: 7 nights × avg £79.29, 35% off = £360.75 | Room 7: 21 nights × avg £75.00, 35% off = £1023.75",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 24) → Room 9 (Jun 24–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 15) → Room 6 (Jul 15–Jul 22) → Room 7 (Jul 22–Aug 12),6,3431.0,5170.0,22,5,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 5 nights × avg £74.00, 32% off = £251.60 | Room 9: 5 nights × avg £116.00, 32% off = £394.40 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 10 nights × avg £127.00, 35% off = £825.50 | Room 6: 7 nights × avg £79.29, 35% off = £360.75 | Room 7: 21 nights × avg £75.00, 35% off = £1023.75",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 16) → Room 6 (Jul 16–Jul 21) → Room 7 (Jul 21–Aug 12),6,3433.2,5145.0,23,3,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 7 nights × avg £75.71, 35% off = £344.50 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 11 nights × avg £124.09, 35% off = £887.25 | Room 6: 5 nights × avg £79.00, 32% off = £268.60 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 16) → Room 10 (Jul 16–Jul 21) → Room 7 (Jul 21–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 25) → Room 7 (Jul 25–Aug 12),6,3434.3,5170.0,22,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 10 nights × avg £91.50, 35% off = £594.75 | Room 7: 18 nights × avg £75.56, 35% off = £884.00",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 6 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3434.75,5175.0,19,10,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 2 nights × avg £70.00, 20% off = £112.00 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 6: 9 nights × avg £80.56, 35% off = £471.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 18) → Room 7 (Jun 18–Jun 23) → Room 9 (Jun 23–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 3 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3439.05,5175.0,23,6,"Room 8: 1 night × avg £75.00, 0% off = £75.00 | Room 7: 5 nights × avg £58.00, 32% off = £197.20 | Room 9: 6 nights × avg £111.67, 32% off = £455.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 3: 9 nights × avg £94.44, 35% off = £552.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 26) → Room 7 (Jul 26–Aug 12),6,3447.3,5190.0,23,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 11 nights × avg £91.82, 35% off = £656.50 | Room 7: 17 nights × avg £75.59, 35% off = £835.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 17) → Room 6 (Jul 17–Jul 24) → Room 7 (Jul 24–Aug 12),6,3447.35,5185.0,24,3,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 7 nights × avg £75.71, 35% off = £344.50 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 12 nights × avg £121.25, 35% off = £945.75 | Room 6: 7 nights × avg £79.29, 35% off = £360.75 | Room 7: 19 nights × avg £75.53, 35% off = £932.75",,Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 17) → Room 10 (Jul 17–Jul 24) → Room 7 (Jul 24–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 13) → Room 6 (Jul 13–Jul 21) → Room 7 (Jul 21–Aug 12),6,3447.75,5195.0,20,10,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 2 nights × avg £70.00, 20% off = £112.00 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 8 nights × avg £136.25, 35% off = £708.50 | Room 6: 8 nights × avg £78.12, 35% off = £406.25 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 18) → Room 7 (Jun 18–Jun 22) → Room 9 (Jun 22–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 3 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3450.9,5205.0,24,7,"Room 8: 1 night × avg £75.00, 0% off = £75.00 | Room 7: 4 nights × avg £58.75, 26% off = £173.90 | Room 9: 7 nights × avg £107.86, 35% off = £490.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 3: 9 nights × avg £94.44, 35% off = £552.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 7 (Jun 19–Jun 22) → Room 9 (Jun 22–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 3 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3451.2,5220.0,25,7,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 7: 3 nights × avg £60.00, 26% off = £133.20 | Room 9: 7 nights × avg £107.86, 35% off = £490.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 3: 9 nights × avg £94.44, 35% off = £552.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 19) → Room 9 (Jul 19–Jul 21) → Room 7 (Jul 21–Aug 12),6,3452.15,5140.0,17,11,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 3 nights × avg £145.00, 26% off = £321.90 | Room 11: 11 nights × avg £92.27, 35% off = £659.75 | Room 9: 2 nights × avg £105.00, 20% off = £168.00 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 19) → Room 9 (Jul 19–Jul 23) → Room 7 (Jul 23–Aug 12),6,3455.85,5145.0,16,13,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 11 nights × avg £92.27, 35% off = £659.75 | Room 9: 4 nights × avg £105.00, 26% off = £310.80 | Room 7: 20 nights × avg £75.25, 35% off = £978.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 19) → Room 9 (Jul 19–Jul 24) → Room 7 (Jul 24–Aug 12),6,3456.55,5180.0,17,14,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 11 nights × avg £92.27, 35% off = £659.75 | Room 9: 5 nights × avg £105.00, 32% off = £357.00 | Room 7: 19 nights × avg £75.53, 35% off = £932.75",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 14) → Room 6 (Jul 14–Jul 21) → Room 7 (Jul 21–Aug 12),6,3457.5,5210.0,21,10,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 2 nights × avg £70.00, 20% off = £112.00 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 9 nights × avg £131.11, 35% off = £767.00 | Room 6: 7 nights × avg £78.57, 35% off = £357.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 6 (Jul 5–Jul 8) → Room 11 (Jul 8–Jul 15) → Room 3 (Jul 15–Jul 27) → Room 7 (Jul 27–Aug 12),6,3460.3,5210.0,24,9,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 6: 3 nights × avg £123.33, 26% off = £273.80 | Room 11: 7 nights × avg £98.57, 35% off = £448.50 | Room 3: 12 nights × avg £91.67, 35% off = £715.00 | Room 7: 16 nights × avg £75.94, 35% off = £789.75",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 3 (Jun 19–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 3 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3460.35,5205.0,28,3,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 3: 7 nights × avg £75.71, 35% off = £344.50 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 3: 9 nights × avg £94.44, 35% off = £552.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 10) → Room 6 (Jul 10–Jul 19) → Room 9 (Jul 19–Jul 21) → Room 7 (Jul 21–Aug 12),6,3463.55,5185.0,19,11,"Room 8: 3 nights × avg £75.00, 26% off = £166.50 | Room 9: 9 nights × avg £103.89, 35% off = £607.75 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 5 nights × avg £142.00, 32% off = £482.80 | Room 6: 9 nights × avg £87.22, 35% off = £510.25 | Room 9: 2 nights × avg £105.00, 20% off = £168.00 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,Room 8 (Jun 17–Jun 20) → Room 9 (Jun 20–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 10) → Room 11 (Jul 10–Jul 19) → Room 9 (Jul 19–Jul 21) → Room 7 (Jul 21–Aug 12),UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 19) → Room 7 (Jun 19–Jun 22) → Room 9 (Jun 22–Jun 29) → Room 7 (Jun 29–Jul 4) → Room 8 (Jul 4–Jul 11) → Room 3 (Jul 11–Jul 21) → Room 7 (Jul 21–Aug 12),6,3464.15,5245.0,26,7,"Room 8: 2 nights × avg £72.50, 20% off = £116.00 | Room 7: 3 nights × avg £60.00, 26% off = £133.20 | Room 9: 7 nights × avg £107.86, 35% off = £490.75 | Room 7: 5 nights × avg £113.00, 32% off = £384.20 | Room 8: 7 nights × avg £140.71, 35% off = £640.25 | Room 3: 10 nights × avg £97.00, 35% off = £630.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 8 (Jun 17–Jun 18) → Room 7 (Jun 18–Jun 21) → Room 9 (Jun 21–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 3 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3465.45,5235.0,25,8,"Room 8: 1 night × avg £75.00, 0% off = £75.00 | Room 7: 3 nights × avg £60.00, 26% off = £133.20 | Room 9: 8 nights × avg £105.00, 35% off = £546.00 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 3: 9 nights × avg £94.44, 35% off = £552.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
Room 9 (Jun 17–Jun 18) → Room 3 (Jun 18–Jun 26) → Room 9 (Jun 26–Jun 29) → Room 7 (Jun 29–Jul 5) → Room 8 (Jul 5–Jul 12) → Room 3 (Jul 12–Jul 21) → Room 7 (Jul 21–Aug 12),6,3471.6,5210.0,28,4,"Room 9: 1 night × avg £85.00, 0% off = £85.00 | Room 3: 8 nights × avg £74.38, 35% off = £386.75 | Room 9: 3 nights × avg £130.00, 26% off = £288.60 | Room 7: 6 nights × avg £112.50, 32% off = £459.00 | Room 8: 7 nights × avg £138.57, 35% off = £630.50 | Room 3: 9 nights × avg £94.44, 35% off = £552.50 | Room 7: 22 nights × avg £74.77, 35% off = £1069.25",,,UNALLOCATED bookings overlap this range (9)
